Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
11 5 -5.5063505 0.0 -19.7152 9.58913 -19.4256 159.059 -1144.85 160.33 -1145.72 0.0 160.33 -1145.72 47.2674 -19.7152 -957.8377 15.3541 15.3541
11 6 -5.5063505 0.0 -19.7152 9.58913 -19.4256 159.059 -1144.85 160.33 -1145.72 0.0 160.33 -1145.72 47.2674 -19.7152 -957.8377 15.3541 15.3541
11 7 -5.5063505 0.0 -19.7152 9.58913 -19.4256 159.059 -1144.85 160.33 -1145.72 0.0 160.33 -1145.72 47.2674 -19.7152 -957.8377 15.3541 15.3541
12 0 -5.228844 0.0 -10.069 9.67655 -20.109 159.059 -1144.85 160.767 -1157.32 0.0 160.767 -1157.32 48.5719 -10.069 -958.05005 20.9 20.9
12 1 -5.2590976 0.0 -11.1124 9.7638 -20.4953 159.059 -1144.85 160.681 -1156.32 0.0 160.681 -1156.32 52.0595 -11.1124 -954.6918 20.5602 20.5602
12 2 -5.214406 0.0 -9.99916 9.71179 -20.8633 159.059 -1144.85 160.63 -1157.68 0.0 160.63 -1157.68 53.0233 -9.99916 -954.0259 21.8735 21.8735
12 3 -5.532316 0.0 -18.4116 9.91208 -22.0152 159.059 -1144.85 160.272 -1150.16 0.0 160.272 -1150.16 73.294 -18.4116 -935.0056 31.8753 31.8753
13 0 -5.2299876 0.0 -8.58002 9.68035 -20.0136 159.059 -1144.85 160.8 -1159.59 0.0 160.8 -1159.59 49.3432 -8.58002 -958.0268 20.2824 20.2824
13 1 -5.2299876 0.0 -8.58002 9.68035 -20.0136 159.059 -1144.85 160.8 -1159.59 0.0 160.8 -1159.59 49.3432 -8.58002 -958.0268 20.2824 20.2824
13 2 -5.1762204 0.0 -8.17287 9.69171 -19.9552 159.059 -1144.85 160.771 -1159.22 0.0 160.771 -1159.22 49.3465 -8.17287 -957.2754 20.9451 20.9451
13 3 -5.1762204 0.0 -8.17287 9.69171 -19.9552 159.059 -1144.85 160.771 -1159.22 0.0 160.771 -1159.22 49.3465 -8.17287 -957.2754 20.9451 20.9451
13 4 -5.085719 0.0 -7.42502 9.68647 -19.9853 159.059 -1144.85 160.871 -1159.09 0.0 160.871 -1159.09 49.115 -7.42502 -956.52905 21.3388 21.3388
13 5 -5.085719 0.0 -7.42502 9.68647 -19.9853 159.059 -1144.85 160.871 -1159.09 0.0 160.871 -1159.09 49.115 -7.42502 -956.52905 21.3388 21.3388
13 6 -5.085719 0.0 -7.42502 9.68647 -19.9853 159.059 -1144.85 160.871 -1159.09 0.0 160.871 -1159.09 49.115 -7.42502 -956.52905 21.3388 21.3388
13 7 -5.085719 0.0 -7.42502 9.68647 -19.9853 159.059 -1144.85 160.871 -1159.09 0.0 160.871 -1159.09 49.115 -7.42502 -956.52905 21.3388 21.3388
14 0 -5.398503 0.0 -15.1957 9.68472 -20.1141 159.059 -1144.85 160.974 -1152.48 0.0 160.974 -1152.48 48.7529 -15.1957 -957.9487 17.7578 17.7578
14 1 -5.398919 0.0 -15.2082 9.68481 -20.1121 159.059 -1144.85 160.977 -1152.47 0.0 160.977 -1152.47 48.7542 -15.2082 -957.94696 17.7596 17.7596
14 2 -5.399678 0.0 -15.2225 9.68465 -20.1131 159.059 -1144.85 160.976 -1152.46 0.0 160.976 -1152.46 48.7599 -15.2225 -957.9466 17.7608 17.7608
14 3 -5.219114 0.0 -11.7257 9.6895 -20.0179 159.059 -1144.85 160.897 -1154.69 0.0 160.897 -1154.69 48.0481 -11.7257 -957.4706 18.9007 18.9007
14 4 -5.262453 0.0 -11.6804 9.68213 -20.0869 159.059 -1144.85 160.898 -1155.55 0.0 160.898 -1155.55 48.9027 -11.6804 -957.42975 19.533 19.533
14 5 -5.1957774 0.0 -11.5446 9.68881 -19.9954 159.059 -1144.85 160.873 -1154.53 0.0 160.873 -1154.53 47.9791 -11.5446 -957.2226 18.9783 18.9783
14 6 -5.2490945 0.0 -11.7014 9.6865 -20.1091 159.059 -1144.85 160.882 -1155.29 0.0 160.882 -1155.29 48.899 -11.7014 -957.2104 19.6634 19.6634
14 7 -5.2436957 0.0 -11.7843 9.68828 -20.1075 159.059 -1144.85 160.876 -1155.06 0.0 160.876 -1155.06 48.9631 -11.7843 -957.00525 19.7815 19.7815
15 0 -5.6954927 0.0 -17.7072 9.81364 -20.5058 159.059 -1144.85 160.448 -1152.83 0.0 160.448 -1152.83 52.5014 -17.7072 -957.58777 15.6863 15.6863
15 1 -5.6954927 0.0 -17.7072 9.81364 -20.5058 159.059 -1144.85 160.448 -1152.83 0.0 160.448 -1152.83 52.5014 -17.7072 -957.58777 15.6863 15.6863
15 2 -5.6954927 0.0 -17.7072 9.81364 -20.5058 159.059 -1144.85 160.448 -1152.83 0.0 160.448 -1152.83 52.5014 -17.7072 -957.58777 15.6863 15.6863
